District_name,Transaction_count,Transaction_amount,Quater,Year,State
kurnool,39557913,88415335176.31995,3,2022,andhra-pradesh
prakasam,35376080,87475230073.46387,3,2022,andhra-pradesh
visakhapatnam,103790055,185306149744.73105,4,2022,andhra-pradesh
krishna,76526667,157826011193.35443,4,2022,andhra-pradesh
guntur,70723763,146938735166.52365,4,2022,andhra-pradesh
chittoor,70322534,136840859888.18156,4,2022,andhra-pradesh
east godavari,68016055,136531110139.86255,4,2022,andhra-pradesh
anantapur,48299601,101533878537.23431,4,2022,andhra-pradesh
west godavari,47919930,105335724990.59326,4,2022,andhra-pradesh
kurnool,43524766,94667441029.08344,4,2022,andhra-pradesh
spsr nellore,42582064,92085916180.68509,4,2022,andhra-pradesh
prakasam,37211077,88105031866.36835,4,2022,andhra-pradesh
papum pare,14224,32555848.462331478,1,2018,arunachal-pradesh
west kameng,5787,9540632.547015157,1,2018,arunachal-pradesh
lohit,3747,11496949.54576835,1,2018,arunachal-pradesh
east siang,3286,5533620.186295529,1,2018,arunachal-pradesh
changlang,3195,5380749.415278763,1,2018,arunachal-pradesh
tawang,2334,5055665.022950603,1,2018,arunachal-pradesh
longding,2321,4361531.578447229,1,2018,arunachal-pradesh
west siang,1887,4796675.565399804,1,2018,arunachal-pradesh
lower subansiri,1477,3650727.893614269,1,2018,arunachal-pradesh
namsai,1400,2162984.705083958,1,2018,arunachal-pradesh
papum pare,25363,66520931.20355793,2,2018,arunachal-pradesh
west kameng,10466,25521321.34140157,2,2018,arunachal-pradesh
lohit,6962,20520618.881890118,2,2018,arunachal-pradesh
east siang,6363,15285584.202916935,2,2018,arunachal-pradesh
changlang,6066,13294258.50337311,2,2018,arunachal-pradesh
tawang,5447,13722374.811357912,2,2018,arunachal-pradesh
longding,4634,10271170.165521314,2,2018,arunachal-pradesh
namsai,3230,6271811.327635023,2,2018,arunachal-pradesh
west siang,2579,7610989.567485569,2,2018,arunachal-pradesh
lower siang,2292,2179451.657976534,2,2018,arunachal-pradesh
papum pare,43282,101080479.2917223,3,2018,arunachal-pradesh
west kameng,17026,48528147.45054105,3,2018,arunachal-pradesh
lohit,11595,32702331.664437763,3,2018,arunachal-pradesh
east siang,10539,24885270.773230057,3,2018,arunachal-pradesh
changlang,10162,20494174.949715402,3,2018,arunachal-pradesh
tawang,8715,25733824.994109266,3,2018,arunachal-pradesh
longding,5288,18327334.050755527,3,2018,arunachal-pradesh
namsai,5076,10698272.774381302,3,2018,arunachal-pradesh
west siang,3337,12966152.792519316,3,2018,arunachal-pradesh
tirap,3322,7479257.007852319,3,2018,arunachal-pradesh
papum pare,55224,154875448.20778143,4,2018,arunachal-pradesh
west kameng,25439,89194886.84322134,4,2018,arunachal-pradesh
lohit,14268,40510521.949797615,4,2018,arunachal-pradesh
changlang,13950,32343047.413952358,4,2018,arunachal-pradesh
east siang,12893,34272134.344916776,4,2018,arunachal-pradesh
tawang,11104,35921510.89403269,4,2018,arunachal-pradesh
namsai,7244,17643523.29373534,4,2018,arunachal-pradesh
longding,6581,22545311.85089966,4,2018,arunachal-pradesh
tirap,5725,10811742.670586085,4,2018,arunachal-pradesh
lower dibang valley,4227,10951332.393937869,4,2018,arunachal-pradesh
papum pare,70941,188556716.3567257,1,2019,arunachal-pradesh
west kameng,34289,101333633.67604163,1,2019,arunachal-pradesh
changlang,17589,40239141.669717625,1,2019,arunachal-pradesh
lohit,15896,42834776.778045304,1,2019,arunachal-pradesh
east siang,15621,39284373.05409969,1,2019,arunachal-pradesh
tawang,13102,39489779.13784294,1,2019,arunachal-pradesh
namsai,8600,20065516.616355177,1,2019,arunachal-pradesh
longding,7287,25349462.055245366,1,2019,arunachal-pradesh
tirap,6877,14075747.836402504,1,2019,arunachal-pradesh
lower dibang valley,6314,13738776.18143886,1,2019,arunachal-pradesh
papum pare,86433,246640891.34861866,2,2019,arunachal-pradesh
west kameng,37430,122521180.75595039,2,2019,arunachal-pradesh
lohit,18693,48893746.831022196,2,2019,arunachal-pradesh
changlang,18631,48891048.26477764,2,2019,arunachal-pradesh
east siang,16494,46549881.23941852,2,2019,arunachal-pradesh
tawang,15960,55915834.5871187,2,2019,arunachal-pradesh
namsai,9637,22491356.65721929,2,2019,arunachal-pradesh
west siang,8041,24549832.977181494,2,2019,arunachal-pradesh
tirap,6868,18633793.43372325,2,2019,arunachal-pradesh
longding,6744,23464027.892812617,2,2019,arunachal-pradesh
papum pare,117940,301518075.7016427,3,2019,arunachal-pradesh
west kameng,53939,147186019.87590763,3,2019,arunachal-pradesh
changlang,29218,58354823.443366826,3,2019,arunachal-pradesh
lohit,24505,54539458.21434432,3,2019,arunachal-pradesh
tawang,24097,72221026.28393415,3,2019,arunachal-pradesh
east siang,22611,58040119.9573143,3,2019,arunachal-pradesh
namsai,13453,25507641.015596062,3,2019,arunachal-pradesh
west siang,11889,30014806.816802975,3,2019,arunachal-pradesh
tirap,11249,21737827.19336869,3,2019,arunachal-pradesh
longding,10269,26620415.019238282,3,2019,arunachal-pradesh
papum pare,143272,378838002.3434037,4,2019,arunachal-pradesh
west kameng,66740,198205637.50055438,4,2019,arunachal-pradesh
changlang,33963,71874990.9639822,4,2019,arunachal-pradesh
tawang,30077,91949243.6071119,4,2019,arunachal-pradesh
lohit,29281,67502324.59236205,4,2019,arunachal-pradesh
east siang,26605,72075285.44344108,4,2019,arunachal-pradesh
namsai,18290,32501252.235055387,4,2019,arunachal-pradesh
tirap,16459,38467790.7269052,4,2019,arunachal-pradesh
west siang,14581,39460255.46641725,4,2019,arunachal-pradesh
lower subansiri,11806,29634357.486805215,4,2019,arunachal-pradesh
papum pare,180373,457430754.15953165,1,2020,arunachal-pradesh
west kameng,75363,198712422.2374845,1,2020,arunachal-pradesh
changlang,43858,93461363.58699805,1,2020,arunachal-pradesh
lohit,36985,83701268.27182505,1,2020,arunachal-pradesh
east siang,33743,82011539.42531273,1,2020,arunachal-pradesh
tawang,31865,84425193.41571434,1,2020,arunachal-pradesh
namsai,23112,46444942.9567038,1,2020,arunachal-pradesh
west siang,19728,47929440.73153875,1,2020,arunachal-pradesh
tirap,18369,40877851.79372531,1,2020,arunachal-pradesh
lower subansiri,15770,34273250.7179902,1,2020,arunachal-pradesh
papum pare,221728,535085907.3404856,2,2020,arunachal-pradesh
west kameng,95421,251395972.22505814,2,2020,arunachal-pradesh
changlang,69279,128572447.99797386,2,2020,arunachal-pradesh
lohit,56541,114730675.47714494,2,2020,arunachal-pradesh
east siang,55680,112693868.80998959,2,2020,arunachal-pradesh
tawang,44499,121561732.24171817,2,2020,arunachal-pradesh
namsai,34972,54870798.314045325,2,2020,arunachal-pradesh
west siang,32777,72790231.05472675,2,2020,arunachal-pradesh
tirap,28830,63497030.840810165,2,2020,arunachal-pradesh
lower dibang valley,26234,42360072.52689613,2,2020,arunachal-pradesh
papum pare,298350,859373863.7202578,3,2020,arunachal-pradesh
west kameng,111029,332812237.8096209,3,2020,arunachal-pradesh
changlang,73842,159158438.92541084,3,2020,arunachal-pradesh
east siang,69710,176323789.94437826,3,2020,arunachal-pradesh
lohit,65889,156523653.1864311,3,2020,arunachal-pradesh
tawang,56016,182137862.72423625,3,2020,arunachal-pradesh
namsai,37019,76484566.53480485,3,2020,arunachal-pradesh
west siang,34295,92449732.96070345,3,2020,arunachal-pradesh
tirap,30046,81539831.5295825,3,2020,arunachal-pradesh
lower dibang valley,27655,63469161.328603886,3,2020,arunachal-pradesh
papum pare,390528,1205917753.7046227,4,2020,arunachal-pradesh
west kameng,129575,390436113.7366378,4,2020,arunachal-pradesh
east siang,88632,250515095.18896666,4,2020,arunachal-pradesh
changlang,84852,204367875.07299304,4,2020,arunachal-pradesh
lohit,80530,196997836.79933694,4,2020,arunachal-pradesh
tawang,67262,240482254.58453605,4,2020,arunachal-pradesh
namsai,46762,111916731.51687588,4,2020,arunachal-pradesh
west siang,45207,125118193.04939622,4,2020,arunachal-pradesh
tirap,36124,104709589.66019581,4,2020,arunachal-pradesh
lower dibang valley,33455,81929299.56817816,4,2020,arunachal-pradesh
papum pare,419891,1388723426.7156572,1,2021,arunachal-pradesh
west kameng,120906,384735272.8434415,1,2021,arunachal-pradesh
east siang,82357,253988360.79783517,1,2021,arunachal-pradesh
changlang,78849,220167765.51868472,1,2021,arunachal-pradesh
lohit,72380,198534806.934188,1,2021,arunachal-pradesh
tawang,54137,207859088.41115898,1,2021,arunachal-pradesh
namsai,45753,116637630.67690113,1,2021,arunachal-pradesh
west siang,42575,138700637.29161483,1,2021,arunachal-pradesh
lower dibang valley,32427,90709108.52350858,1,2021,arunachal-pradesh
tirap,32043,110593517.14623192,1,2021,arunachal-pradesh
papum pare,552953,1501062555.477559,2,2021,arunachal-pradesh
west kameng,164866,482626617.8657546,2,2021,arunachal-pradesh
east siang,106787,286839106.4541313,2,2021,arunachal-pradesh
changlang,105461,264031910.3489421,2,2021,arunachal-pradesh
lohit,99686,230495504.24757013,2,2021,arunachal-pradesh
tawang,70061,251025037.95363933,2,2021,arunachal-pradesh
namsai,64781,147069902.3522784,2,2021,arunachal-pradesh
west siang,59341,180700138.79997098,2,2021,arunachal-pradesh
tirap,46320,144548683.3225929,2,2021,arunachal-pradesh
lower dibang valley,42091,105552358.12192997,2,2021,arunachal-pradesh
papum pare,710098,1995999756.3372893,3,2021,arunachal-pradesh
west kameng,209165,658232385.7409549,3,2021,arunachal-pradesh
east siang,128957,368061706.2429154,3,2021,arunachal-pradesh
changlang,120126,319705502.42197955,3,2021,arunachal-pradesh
lohit,117879,275160751.4034922,3,2021,arunachal-pradesh
tawang,89052,365404078.3528414,3,2021,arunachal-pradesh
namsai,79292,177380632.18278247,3,2021,arunachal-pradesh
west siang,65763,217065611.3332364,3,2021,arunachal-pradesh
lower dibang valley,50270,133788746.95473914,3,2021,arunachal-pradesh
tirap,47118,143620525.85725695,3,2021,arunachal-pradesh
papum pare,919925,2435796597.1781564,4,2021,arunachal-pradesh
west kameng,247346,765859269.2953706,4,2021,arunachal-pradesh
east siang,169617,450185173.037876,4,2021,arunachal-pradesh
changlang,147432,403255246.4023236,4,2021,arunachal-pradesh
lohit,142772,328942905.2553121,4,2021,arunachal-pradesh
namsai,105194,220513367.66283622,4,2021,arunachal-pradesh
tawang,99575,412396002.3197621,4,2021,arunachal-pradesh
west siang,79050,267978346.9418527,4,2021,arunachal-pradesh
lower dibang valley,65302,174980099.83925235,4,2021,arunachal-pradesh
lower subansiri,60146,199366119.13556093,4,2021,arunachal-pradesh
papum pare,1163726,2909248438.629796,1,2022,arunachal-pradesh
west kameng,240672,705607894.004217,1,2022,arunachal-pradesh
east siang,201945,501600929.04419017,1,2022,arunachal-pradesh
changlang,171494,490549428.7793704,1,2022,arunachal-pradesh
lohit,169954,393361044.4830233,1,2022,arunachal-pradesh
namsai,117173,256004887.5750422,1,2022,arunachal-pradesh
west siang,92331,315562272.5888671,1,2022,arunachal-pradesh
tawang,86721,346661566.51465106,1,2022,arunachal-pradesh
lower dibang valley,83531,235243185.52128848,1,2022,arunachal-pradesh
lower subansiri,73100,239825149.91154164,1,2022,arunachal-pradesh
papum pare,1444757,3269917296.5595775,2,2022,arunachal-pradesh
west kameng,327925,893486447.5566866,2,2022,arunachal-pradesh
east siang,261162,604825118.1911323,2,2022,arunachal-pradesh
lohit,226199,502322813.6384013,2,2022,arunachal-pradesh
changlang,203732,513287861.1029648,2,2022,arunachal-pradesh
namsai,152652,293920909.24794424,2,2022,arunachal-pradesh
tawang,132824,494351396.8226246,2,2022,arunachal-pradesh
