District_name,Reg_users,Pincodes,Reg_users_pin,Quater,Year,State
prakasam,598568,515001,93191,3,2019,andhra-pradesh
prakasam,598568,518002,84918,3,2019,andhra-pradesh
prakasam,598568,516001,84693,3,2019,andhra-pradesh
prakasam,598568,530026,74501,3,2019,andhra-pradesh
prakasam,598568,516360,73267,3,2019,andhra-pradesh
prakasam,598568,520010,72722,3,2019,andhra-pradesh
prakasam,598568,524002,69783,3,2019,andhra-pradesh
prakasam,673522,517501,136436,4,2019,andhra-pradesh
prakasam,673522,517507,119146,4,2019,andhra-pradesh
prakasam,673522,530016,106404,4,2019,andhra-pradesh
prakasam,673522,515001,102848,4,2019,andhra-pradesh
prakasam,673522,516001,94209,4,2019,andhra-pradesh
prakasam,673522,518002,94193,4,2019,andhra-pradesh
prakasam,673522,516360,81619,4,2019,andhra-pradesh
prakasam,673522,530026,81191,4,2019,andhra-pradesh
prakasam,673522,520010,79453,4,2019,andhra-pradesh
prakasam,673522,524002,77681,4,2019,andhra-pradesh
prakasam,748655,517501,146823,1,2020,andhra-pradesh
prakasam,748655,517507,129214,1,2020,andhra-pradesh
prakasam,748655,530016,114042,1,2020,andhra-pradesh
prakasam,748655,515001,111359,1,2020,andhra-pradesh
prakasam,748655,518002,102905,1,2020,andhra-pradesh
prakasam,748655,516001,102893,1,2020,andhra-pradesh
prakasam,748655,516360,89774,1,2020,andhra-pradesh
prakasam,748655,530026,87449,1,2020,andhra-pradesh
prakasam,748655,524002,85878,1,2020,andhra-pradesh
prakasam,748655,520010,85779,1,2020,andhra-pradesh
prakasam,830709,517501,156221,2,2020,andhra-pradesh
prakasam,830709,517507,138735,2,2020,andhra-pradesh
prakasam,830709,530016,120621,2,2020,andhra-pradesh
prakasam,830709,515001,119223,2,2020,andhra-pradesh
prakasam,830709,518002,112673,2,2020,andhra-pradesh
prakasam,830709,516001,111898,2,2020,andhra-pradesh
prakasam,830709,516360,98803,2,2020,andhra-pradesh
prakasam,830709,524002,93834,2,2020,andhra-pradesh
prakasam,830709,530026,93224,2,2020,andhra-pradesh
prakasam,830709,520010,91299,2,2020,andhra-pradesh
prakasam,915240,517501,166768,3,2020,andhra-pradesh
prakasam,915240,517507,149001,3,2020,andhra-pradesh
prakasam,915240,515001,128227,3,2020,andhra-pradesh
prakasam,915240,530016,128059,3,2020,andhra-pradesh
prakasam,915240,518002,121529,3,2020,andhra-pradesh
prakasam,915240,516001,120997,3,2020,andhra-pradesh
prakasam,915240,516360,108073,3,2020,andhra-pradesh
prakasam,915240,524002,102103,3,2020,andhra-pradesh
prakasam,915240,530026,99754,3,2020,andhra-pradesh
prakasam,915240,520010,97752,3,2020,andhra-pradesh
prakasam,999462,517501,178328,4,2020,andhra-pradesh
prakasam,999462,517507,160062,4,2020,andhra-pradesh
prakasam,999462,515001,137945,4,2020,andhra-pradesh
prakasam,999462,530016,136049,4,2020,andhra-pradesh
prakasam,999462,518002,130871,4,2020,andhra-pradesh
prakasam,999462,516001,130500,4,2020,andhra-pradesh
prakasam,999462,516360,117397,4,2020,andhra-pradesh
prakasam,999462,524002,110746,4,2020,andhra-pradesh
prakasam,999462,530026,106320,4,2020,andhra-pradesh
prakasam,999462,520010,104956,4,2020,andhra-pradesh
prakasam,1075936,517501,190712,1,2021,andhra-pradesh
prakasam,1075936,517507,171417,1,2021,andhra-pradesh
prakasam,1075936,515001,147941,1,2021,andhra-pradesh
prakasam,1075936,530016,145206,1,2021,andhra-pradesh
prakasam,1075936,518002,140153,1,2021,andhra-pradesh
prakasam,1075936,516001,139840,1,2021,andhra-pradesh
prakasam,1075936,516360,126260,1,2021,andhra-pradesh
prakasam,1075936,524002,118730,1,2021,andhra-pradesh
prakasam,1075936,530026,113581,1,2021,andhra-pradesh
prakasam,1075936,520010,112324,1,2021,andhra-pradesh
prakasam,1151232,517501,203005,2,2021,andhra-pradesh
prakasam,1151232,517507,182425,2,2021,andhra-pradesh
prakasam,1151232,515001,157649,2,2021,andhra-pradesh
